Title,Description,Values
karne parametrelerini kuraldan veri girişine çevirme sorunu,v backstage iki apg nin kaynak target kaynak actual parametreleri kural olarak tanımlandıktan sonra ihtiyaç duyulduğunda kaynak target parametresi veri girişine çevrilememiştir sorun durum genel midir yoksa iki apg ye özgü müdür örnek apg ler toplam teminat mektubu riski toplam risk katılım fonları haricindeki fon kaynaklarının maliyeti,0
mizan ürün eylül gerçekleşmeleri,mizan ürün sekmesinde yeni eşleştireceğimiz hesapları kontrol etmek istediğimizde eylül gerçekleşmelerini görememekteyiz konu ilgili yardımlarınızı talep eder,0
cognos yedek alınması i̇şlemi,cognos dk eşlemedeki uyumsuzluk sebebi yedeğinin alınmasını talep eder,2
kullanıcı kısıtları,cognos kullanıcılarının bütçe rakamlarını sisteme aktarırken geçmiş yıllarda girilen rakamları değiştirme riskini ortadan kaldırmak cari bütçe yılı hariç diğer geçmiş yıl rakamlarının pasif durumda olması gerekmektedir bununla birlikte birimler verilerin sisteme girişlerinde deadline girilebilen bir alan getirilip tarihten sonra sistemin bütçe girişlerine kapanması gerekmektedir i̇lgili taleplerimizi mevcut bekleyen talepler listesine dahil edip mümkün kısa sürede yapılmasını talep etmekteyiz,2
cognos bi küp yetkilendirmeleri,cognos bi uygulaması küplerinin incelenmek üzere tarafımıza yetki verilmesini talep eder,2
mizan ürün,cognos mizan ürün sayfasında elementler içerisinde hesapları seçerken varlıklar yükümlülükler gelir gider hesaplarını ayrı ayrı seçtirmektedir kontrol aşamasında hesap gruplarını ayrı ayrı almak zaman kaybına hata tespitinde olumsuz sonuçlara sebep olabilmektedir i̇lgili elementin diğer küplerde olduğu all members seçeneği bilanço gelir gider hesaplarını aynı sayfada sıralanmasını talep etmekteyiz,2
kullanıcı yetkilendirmeleri,ekte belirtilen bütçe modül küplerinin gider yatırım hariç olmak üzere read yetkisi cognos bütçe modülü kullanıcılarına tanımlanmasını talep eder,2
yetki tanımlanması,hasan altundağ kullanıcısının lisans yetkisi ömer faruk yayla verilmesini talep etmekteyiz ancak ömer faruk yayla yetki bakımından pazarlama md verdiğimiz yetkiler aynı yetkilere sahip olması gerekmektedir muhammet kiliç aynı yetkilere sahip olacak,2
yılı dk eşlemeleri,yılı olan dk eşlemelerin otomatik olarak sistemde tanımlanmasını talep etmekteyiz,2
cognos güncellemesi,ana bankacılık sisteminden elde edilen veriler oluşturulan mali tablolar cognos kıyaslandığında sistemin güncel olduğu fakat cognosu güncellediğimiz halde rakamların uyuşmadığı tespit edilmiştir sistemin bir admin tarafından güncellenmesini talep eder,0
faaliyet giderlerinin bütçe plan a atarılması,i̇ş birimleri tarafından girişleri yapılan faaliyet giderleri bütçelenen rakamların bütçe planlama küpü içerisine bağlanmasını talep etmekteyiz,2
muhammet kılıç kullanıcı sorunu,pazarlama müdürlüğü budget yetkileri olmasına rağmen muhammet kılıç kullanıcısı budget küpü içerisindeki bütçe kalemlerini göremediğini iletmişlerdir konu ilgili acil yardımlarınızı talep ederiz,0
cognos hatası,cognos uygulama yönetiminden güncelleme işlemi yaptığım sırada ekteki hata karşılaşmaktayım bilgilerinize sunarım,0
mali tablolar data eksikliği,cognos mali tablolar küpünde yeni açılan şubelerin fon bilgileri gelmemektedir bilgilerinize sunarım,0
cognos erişimi,cognos sistemine erişememekte olup durumu bilgilerinize sunarız,3
erbil aralık rakamları,mali tablolar erbil rakamları sisteme gelmemektedir acilen yardımlarınızı talep etmekteyiz,0
tm skalalarında hata,tm kurumsal performans yönetimi alanında apg dönem hedeflerini gerçekleşmelerini girdiğimde apg nin puanlama skalası sıfırlanıyor yardımcı olabilirseniz sevinirim,0
aktif pasif uyumsuzluğu,yurt dışı şube rakamlarının budget a gelmemesinden dolayı aktif pasif uyumsuzluğu ortaya çıkmaktadır i̇lgili hatanın giderilmesini talep eder,0
verilen komisyon ücretleri,verilen ücret komisyon giderleri gider bütçesi sekmesinde işaretli olarak görünmektedir gider yatırım bütçesi bütçe plan olarak bütçe planlama küpü budget sekmesinde görünmesini talep etmekteyiz,2
tm kurumsal performans yönetimi karnelerinde toplam puanının oluşmaması,tm kurumsal performans yönetimi karnelerinde apg bazlı puan oluştuğu halde karne toplam puanı oluşmamaktadır ali kılıç bey le görüştüğümüzde karne toplam puanının pergel versiyonunda yer aldığını talep açılırsa yeni versiyona aktarılabileceğini söylemişti karne toplam puanının oluşması konusunda yardımcı olabilirseniz seviniriz,2
cognos verişi girişi kaydetme sorunu,cognos veri girişi sonrasında girilen rakamları kaydetmek kullandığımız butonlar pasif olarak görünmektedir konunun aciliyetini bilgilerinize sunar,0
mizan güncelleme problemi,uygulama yönetiminden mizan güncelleme esnasında dakika bekledikten sonra süre hatası vererek sistem kapanmaktadır mizan güncellenemediği rapor alınması sırasında aksaklıklar yaşanmaktadır konuyu bilgilerinize sunarım,0
yılı gerçekleşen rakamları,yılına ait gerçekleşen veriler mizan rakamlarının cognos a yüklenmesini talep etmekteyiz,2
erbil şube rakamlarının görünmemesi,cognos mizan güncelleme sırasında erbil şube rakamlarının görünmemesi sebebiyle mali tablolarda uyumsuzluk oluşmaktadır yardımlarınızı talep eder,0
cognos a eklenecek hesaplar,cognos a eklenmesi gereken hesapların detayı ektedir yardımlarınızı talep eder,2
yeni açılan hesapların kırılımda hiyerarşiye yansıması,cognos dk eşleme içerisinde yeni gelen kırılımdaki hesaplar kırılım altında görünmemektedir bt yapılan görüşmede sistemde refresh yapılarak bunun cognos a getirilebileceği belirtilmiştir dwh tarafında ilgili hesapların üst hiyerarşisisinde kırılımda dk lar gelmektedir,2
gayrınakdi kredi kabul diğer gn krediler toplayıcı hesabı,gayrınakdi krediler içerisinde teminat mektubu altında bulunan kabul diğer garanti kefaletleri kabul diğer gn krediler toplayıcı hesabında toplamak istemekteyiz ayrıca gn kredi komisyonları hiyerarşisinde kabul aval cirolardan alınan komisyonlar diğer gn kefaletlerden alınan komisyonları içinde barındıran diğer gn kredi komisyonları toplayıcı hesabının eklenmesini talep etmekteyiz,2
takip özel karşılık hesapları yeni kırılım ekleme,hesap planımızda yapılan değişiklik sebebi ekte belirtilen hesapların sistemde açılmasını talep eder,2
donuk alacaklar tahakkuk reeskontu taşınması,tahakkuk reeskont içerisinde görünen donuk alacaklar tahakkuk reeskont kırılımını v b tahsili gecikmiş alacaklar kalemi altına donuk alacaklar tahakkuk reeskontu olarak taşınmasını talep eder,2
perakende toptan eksik gelen data,perakende toptan küplerinde şubat tarihindeki datalar eksik geliyor neredeyse hiçbiri gelmemiş pazar günü full data çalışmasına rağmen gelmemiş görünüyor rica etsem kontrol edebilir misiniz,0
